[05-Apr-2019 16:28:20 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\task_book_detail.php on line 2
[05-Apr-2019 16:28:20 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\task_book_detail.php on line 11
[05-Apr-2019 16:28:20 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\task_book_detail.php on line 11
[05-Apr-2019 16:28:20 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\task_book_detail.php on line 25
[05-Apr-2019 16:28:20 PRC] PHP Warning:  mysqli_fetch_array() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\student_func\task_book_detail.php on line 26
[05-Apr-2019 16:29:40 PRC] PHP Warning:  include(header.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 8
[05-Apr-2019 16:29:40 PRC] PHP Warning:  include(): Failed opening 'header.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\tutor.php on line 8
[05-Apr-2019 16:30:37 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 2
[05-Apr-2019 16:30:37 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 2
[05-Apr-2019 16:30:37 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 5
[05-Apr-2019 16:30:37 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 5
[05-Apr-2019 16:30:37 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 6
[05-Apr-2019 16:30:37 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 6
[05-Apr-2019 16:30:37 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 7
[05-Apr-2019 16:30:37 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_topic.php on line 86
[05-Apr-2019 16:31:00 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 2
[05-Apr-2019 16:31:00 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 2
[05-Apr-2019 16:31:00 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 5
[05-Apr-2019 16:31:00 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 5
[05-Apr-2019 16:31:00 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 90
[05-Apr-2019 16:31:00 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\chose_student.php on line 11
[05-Apr-2019 16:31:12 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 2
[05-Apr-2019 16:31:12 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 2
[05-Apr-2019 16:31:12 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 5
[05-Apr-2019 16:31:12 PRC] PHP Warning:  mysqli_query() expects parameter 1 to be mysqli, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 5
[05-Apr-2019 16:31:12 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 98
[05-Apr-2019 16:31:12 PRC] PHP Warning:  mysqli_num_rows() expects parameter 1 to be mysqli_result, null given in C:\Users\smile\Desktop\Code\Html\ManaSystem\tutor_func\t_task_book.php on line 11
[05-Apr-2019 16:31:42 PRC] PHP Warning:  include(header.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 8
[05-Apr-2019 16:31:42 PRC] PHP Warning:  include(): Failed opening 'header.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\secretary.php on line 8
[05-Apr-2019 16:31:52 PRC] PHP Warning:  include(link.php): failed to open stream: No such file or directory in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 2
[05-Apr-2019 16:31:52 PRC] PHP Warning:  include(): Failed opening 'link.php' for inclusion (include_path='D:\xampp\php\PEAR') in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 2
[05-Apr-2019 16:31:52 PRC] PHP Notice:  Undefined variable: link in C:\Users\smile\Desktop\Code\Html\ManaSystem\secretary_func\review_topic.php on line 4
